Player,Nation,Pos,Squad,Comp,Age,Born,LeagueRank,MP,W,D,L,GF,GA,GD,Pts,Pts/MP,xG,xGA,xGD,xGD/90,Attendance,Top Team Scorer,Goalkeeper,Playing Time MP,Playing Time Starts,Playing Time Min,Playing Time 90s,Performance GA,Performance GA90,Performance SoTA,Performance Saves,Performance Save%,Performance CS,Performance CS%,Penalty Kicks PKatt,Penalty Kicks PKA,Penalty Kicks PKsv,Penalty Kicks PKm,Penalty Kicks Save%,Goals PKA,Goals FK,Goals CK,Goals OG,Expected PSxG,Expected PSxG/SoT,Expected PSxG+/-,Expected /90,Launched Cmp,Launched Att,Launched Cmp%,Passes Att,Passes Thr,Passes Launch%,Passes AvgLen,Goal Kicks Att,Goal Kicks Launch%,Goal Kicks AvgLen,Crosses Opp,Crosses Stp,Crosses Stp%,Sweeper #OPA,Sweeper #OPA/90,Sweeper AvgDist
Jonas Omlin,SUI,GK,Montpellier,Ligue 1,27,1994,13,38,12,7,19,49,61,-12,43,1.13,43.7,58.7,-15,-0.39,10711,Sepe Elye Wahi - 10,Jonas Omlin,29,29,2587,28.7,41,1.43,153,115,75.2,8,27.6,4,3,1,0,25,3,1,3,0,41.2,0.25,0.2,0.01,165,383,43.1,818,180,32.4,33.3,265,44.5,39.9,305,24,7.9,17,0.59,13.9
Rafał Gikiewicz,POL,GK,Augsburg,Bundesliga,33,1987,14,34,10,8,16,39,56,-17,38,1.12,38.1,58.3,-20.1,-0.59,15197,Michael Gregoritsch - 9,Rafał Gikiewicz,34,34,3060,34,56,1.65,152,100,66.4,9,26.5,5,5,0,0,0,5,1,3,2,52.5,0.32,-1.5,-0.04,261,655,39.8,955,141,48.8,40.5,285,66.3,50.6,308,20,6.5,34,1,15.9
Stole Dimitrievski,MKD,GK,Rayo Vallecano,La Liga,27,1993,12,38,11,9,18,39,50,-11,42,1.11,45.4,46.7,-1.3,-0.03,7866,Sergi Guardiola - 8,Stole Dimitrievski,31,30,2772,30.8,37,1.2,116,86,74.1,9,30,9,7,2,0,22.2,7,0,5,1,39,0.27,3,0.1,207,611,33.9,726,148,59.8,47.5,229,77.3,58.1,251,24,9.6,17,0.55,12.9
Édgar Badía,ESP,GK,Elche,La Liga,29,1992,13,38,11,9,18,40,52,-12,42,1.11,34.8,61,-26.2,-0.69,15640,Pere Milla - 8,Édgar Badía,24,24,2160,24,35,1.46,106,77,73.6,5,20.8,9,7,1,1,12.5,7,0,6,0,40.4,0.31,5.4,0.22,211,467,45.2,618,100,50.5,39.7,211,73.5,51.7,275,24,8.7,23,0.96,15.8
Diego López,ESP,GK,Espanyol,La Liga,39,1981,14,38,10,12,16,40,53,-13,42,1.11,37.8,52.1,-14.3,-0.38,17362,Raúl de Tomás - 17,Diego López,36,36,3177,35.3,49,1.39,152,106,69.7,10,27.8,4,3,0,1,0,3,0,4,2,45.4,0.28,-1.6,-0.05,184,477,38.6,849,203,38.8,37.1,294,50.3,41.3,397,42,10.6,25,0.71,13.8
Danijel Petković,MNE,GK,Angers,Ligue 1,28,1993,14,38,10,11,17,44,55,-11,41,1.08,44.8,49.2,-4.4,-0.12,7758,Sofiane Boufal - 8,Danijel Petković,15,15,1350,15,22,1.47,62,44,67.7,2,13.3,3,2,1,0,33.3,2,0,1,2,18,0.26,-2,-0.14,52,155,33.5,340,90,30.3,32.3,120,43.3,38.7,133,12,9,10,0.67,12.5
Guglielmo Vicario,ITA,GK,Empoli,Serie A,24,1996,14,38,10,11,17,50,70,-20,41,1.08,46.6,67.8,-21.2,-0.56,6356,Andrea Pinamonti - 13,Guglielmo Vicario,38,38,3420,38,70,1.84,209,146,68.9,7,18.4,10,5,2,3,28.6,5,1,7,6,67.5,0.3,3.5,0.09,166,435,38.2,1066,211,29.8,32.2,257,45.5,39.6,405,35,8.6,20,0.53,13.5
Fraser Forster,ENG,GK,Southampton,Premier League,33,1988,15,38,9,13,16,43,67,-24,40,1.05,46.8,58.6,-11.9,-0.31,30134,James Ward-Prowse - 10,Fraser Forster,19,19,1710,19,35,1.84,98,67,66.3,3,15.8,2,2,0,0,0,2,0,5,2,31.8,0.31,-1.2,-0.06,123,358,34.4,455,68,54.9,44.8,141,76.6,54.3,176,18,10.2,14,0.74,13.8
David Soria,ESP,GK,Getafe,La Liga,28,1993,15,38,8,15,15,33,41,-8,39,1.03,29.5,39.1,-9.6,-0.25,8702,Enes Ünal - 16,David Soria,38,38,3414,37.9,41,1.08,130,89,70,14,36.8,4,2,1,1,33.3,2,0,5,1,37.8,0.27,-2.2,-0.06,386,915,42.2,889,98,75.5,52.9,291,83.8,58.5,363,42,11.6,30,0.79,14.4
Jeremías Ledesma,ARG,GK,Cádiz,La Liga,28,1993,17,38,8,15,15,35,51,-16,39,1.03,41.4,52.8,-11.4,-0.3,14055,Anthony Lozano Álvaro Negredo - 7,Jeremías Ledesma,38,38,3420,38,51,1.34,159,117,74.8,13,34.2,13,11,2,0,15.4,11,0,10,0,52.1,0.26,1.1,0.03,302,834,36.2,846,116,68,52.1,310,83.5,64.2,368,33,9,23,0.61,13.7
Jordan Pickford,ENG,GK,Everton,Premier League,27,1994,16,38,11,6,21,43,66,-23,39,1.03,42.7,54.6,-11.9,-0.31,38446,Richarlison - 10,Jordan Pickford,35,35,3150,35,58,1.66,167,114,65.9,7,20,1,1,0,0,0,1,2,12,4,53.8,0.32,-0.2,-0.01,291,821,35.4,871,108,69.3,53,264,82.2,64.9,310,22,7.1,26,0.74,15.2
Manolo Reina,ESP,GK,Mallorca,La Liga,36,1985,16,38,10,9,19,36,63,-27,39,1.03,40.1,48.2,-8.1,-0.21,12712,Vedat Muriqi Salva Sevilla - 5,Manolo Reina,21,21,1890,21,26,1.24,72,47,66.7,8,38.1,3,2,1,0,33.3,2,0,2,1,24.6,0.3,-0.4,-0.02,145,381,38.1,457,69,58.2,46.1,183,62.8,47.7,219,15,6.8,11,0.52,14.4
Gauthier Gallon,FRA,GK,Troyes,Ligue 1,28,1993,15,38,9,11,18,37,53,-16,38,1,39.4,50.9,-11.4,-0.3,9491,Xavier Chavalerin Ike Ugbo - 5,Gauthier Gallon,31,31,2790,31,45,1.45,128,92,71.1,8,25.8,8,8,0,0,0,8,1,8,2,40.4,0.26,-2.6,-0.08,217,512,42.4,815,155,45.3,38.3,246,58.1,42.9,283,19,6.7,16,0.52,13
Luís Maximiano,POR,GK,Granada,La Liga,22,1999,18,38,8,14,16,44,61,-17,38,1,41.3,61.4,-20.2,-0.53,13710,Jorge Molina - 10,Luís Maximiano,35,35,3136,34.8,55,1.58,170,121,70.6,7,20,7,5,2,0,28.6,5,0,8,2,58.3,0.31,5.3,0.15,265,775,34.2,837,145,61.6,47.2,336,77.1,55.7,375,26,6.9,41,1.18,15.9
Illan Meslier,FRA,GK,Leeds United,Premier League,21,2000,17,38,9,11,18,42,79,-37,38,1,47.1,69.9,-22.8,-0.6,36308,Raphinha - 11,Illan Meslier,38,38,3384,37.6,79,2.1,215,139,65.6,5,13.2,5,5,0,0,0,5,3,11,1,70.7,0.31,-7.3,-0.19,166,511,32.5,1090,256,35.3,32.9,287,43.9,38.9,245,21,8.6,37,0.98,14.7
Florian Müller,GER,GK,Stuttgart,Bundesliga,23,1997,15,34,7,12,15,41,59,-18,33,0.97,45.3,51.5,-6.3,-0.18,27052,Sasa Kalajdzic - 6,Florian Müller,30,30,2700,30,52,1.73,132,83,63.6,4,13.3,4,4,0,0,0,4,1,6,1,40.8,0.29,-10.2,-0.34,140,290,48.3,771,147,26.7,29.9,241,34.9,32.9,288,15,5.2,29,0.97,14.8
Alexander Schwolow,GER,GK,Hertha BSC,Bundesliga,29,1992,16,34,9,6,19,37,71,-34,33,0.97,34.1,55.3,-21.2,-0.62,23500,Stevan Jovetić - 6,Alexander Schwolow,25,25,2175,24.2,51,2.11,120,73,61.7,4,16,5,5,0,0,0,5,1,7,0,48,0.37,-3,-0.13,164,386,42.5,629,129,39.4,36.2,204,67.6,50.8,258,12,4.7,14,0.58,13.3
Emil Audero,ITA,GK,Sampdoria,Serie A,24,1997,15,38,10,6,22,46,63,-17,36,0.95,37,58.5,-21.5,-0.57,9417,Francesco Caputo - 11,Emil Audero,29,29,2560,28.4,48,1.69,131,85,64.1,5,17.2,2,1,1,0,50,1,1,5,1,43,0.32,-4,-0.14,220,506,43.5,785,117,45.7,39.8,214,68.7,49.8,270,25,9.3,12,0.42,13.3
Paul Nardi,FRA,GK,Lorient,Ligue 1,27,1994,16,38,8,12,18,35,63,-28,36,0.95,43.4,52,-8.7,-0.23,12738,Terem Moffi - 8,Paul Nardi,22,22,1980,22,38,1.73,88,56,61.4,4,18.2,5,4,0,1,0,4,4,3,2,31.7,0.32,-4.3,-0.19,81,317,25.6,361,75,51,43.3,176,75.6,58.9,209,6,2.9,7,0.32,13.1
Ivan Provedel,ITA,GK,Spezia,Serie A,27,1994,16,38,10,6,22,41,71,-30,36,0.95,39.2,67.7,-28.5,-0.75,6709,Daniele Verde - 8,Ivan Provedel,31,31,2761,30.7,52,1.7,155,112,72.3,7,22.6,12,9,1,2,10,9,3,5,3,51.8,0.29,2.8,0.09,269,697,38.6,956,125,55.5,45.7,230,72.2,53.9,273,21,7.7,21,0.68,14.3
Ouparine Djoco,SEN,GK,Clermont Foot,Ligue 1,23,1998,17,38,9,9,20,38,69,-31,36,0.95,44.9,53,-8.2,-0.21,10569,Mohamed Lamine Bayo - 14,Ouparine Djoco,24,23,2116,23.5,36,1.53,96,63,64.6,5,21.7,2,2,0,0,0,2,0,7,2,30.2,0.3,-3.8,-0.16,116,342,33.9,579,104,42.7,37.3,155,61.3,43.8,184,15,8.2,18,0.77,14.6
Nick Pope,ENG,GK,Burnley,Premier League,29,1992,18,38,7,14,17,34,53,-19,35,0.92,39,56.7,-17.7,-0.47,19278,Maxwel Cornet - 9,Nick Pope,36,36,3240,36,47,1.31,159,116,73.6,9,25,5,5,0,0,0,5,1,7,1,50.4,0.3,4.4,0.12,319,847,37.7,793,139,73.4,52.8,285,93,65.9,375,36,9.6,63,1.75,18.2
Cárdenas,ESP,GK,Levante,La Liga,24,1997,19,38,8,11,19,51,76,-25,35,0.92,56.5,56.1,0.3,0.01,14961,José Luis Morales - 13,Cárdenas,24,24,2160,24,46,1.92,115,71,63.5,5,20.8,4,4,0,0,0,4,1,7,0,41.7,0.33,-4.3,-0.18,113,326,34.7,526,83,46.2,40.1,193,43,38.7,235,12,5.1,15,0.63,13.9
Paul Bernardoni,FRA,GK,Saint-Étienne,Ligue 1,24,1997,18,38,7,11,20,42,77,-35,32,0.84,41,61.2,-20.2,-0.53,21806,Wahbi Khazri - 10,Paul Bernardoni,19,19,1710,19,33,1.74,87,57,67.8,3,15.8,5,5,0,0,0,5,1,5,2,31.9,0.32,-3.1,-0.16,99,333,29.7,441,117,52.8,41.2,137,73,52.3,140,17,12.1,31,1.63,16.2
Stefan Ortega,GER,GK,Arminia,Bundesliga,28,1992,17,34,5,13,16,27,53,-26,28,0.82,28.2,62.3,-34.1,-1,16773,Masaya Okugawa - 8,Stefan Ortega,33,33,2970,33,53,1.61,172,124,73.3,6,18.2,7,7,0,0,0,7,1,7,2,58.4,0.31,7.4,0.22,471,980,48.1,1447,87,54.6,44.4,311,61.1,49.6,307,12,3.9,35,1.06,15.8
Alexandre Oukidja,ALG,GK,Metz,Ligue 1,33,1988,19,38,6,13,19,35,69,-34,31,0.82,30.2,63.8,-33.6,-0.88,14876,Nicolas de Préville - 5,Alexandre Oukidja,21,21,1875,20.8,39,1.87,88,53,59.1,3,14.3,3,3,0,0,0,3,1,2,2,34.5,0.36,-2.5,-0.12,157,363,43.3,421,129,54.6,44.9,168,79.2,58.2,178,29,16.3,26,1.25,16.4
Fernando Pacheco,ESP,GK,Alavés,La Liga,29,1992,20,38,8,7,23,31,65,-34,31,0.82,36.9,58.4,-21.4,-0.56,10952,Joselu - 14,Fernando Pacheco,34,34,3053,33.9,60,1.77,139,83,60.4,6,17.6,8,5,3,0,37.5,5,0,10,0,54.3,0.35,-5.7,-0.17,367,742,49.5,718,81,70.6,50.4,308,76.3,53.3,337,28,8.3,24,0.71,14.6
Benoît Costil,FRA,GK,Bordeaux,Ligue 1,34,1987,20,38,6,13,19,52,91,-39,31,0.82,44.8,69.7,-24.9,-0.66,22141,Hwang Ui-jo - 11,Benoît Costil,25,25,2250,25,62,2.48,129,72,55.8,0,0,5,5,0,0,0,5,1,6,1,47.9,0.34,-13.1,-0.52,217,482,45,682,75,48.2,39.8,217,70.5,51.2,196,13,6.6,26,1.04,16.9
Vid Belec,SVN,GK,Salernitana,Serie A,31,1990,17,38,7,10,21,33,78,-45,31,0.82,37.7,65.9,-28.2,-0.74,15073,Federico Bonazzoli - 10,Vid Belec,23,21,1938,21.5,49,2.28,129,84,64.3,1,4.8,5,3,1,1,25,3,0,6,2,39.3,0.28,-7.7,-0.36,151,354,42.7,400,77,55.5,44.2,179,73.7,52.9,214,10,4.7,8,0.37,12.8
Alessio Cragno,ITA,GK,Cagliari,Serie A,27,1994,18,38,6,12,20,34,68,-34,30,0.79,39.6,61.4,-21.8,-0.57,9718,João Pedro - 13,Alessio Cragno,35,35,3150,35,63,1.8,167,108,65.9,2,5.7,8,6,2,0,25,6,4,10,1,61,0.33,-1,-0.03,335,765,43.8,899,111,59.5,44,315,73,50.8,293,22,7.5,19,0.54,14.9
Salvatore Sirigu,ITA,GK,Genoa,Serie A,34,1987,19,38,4,16,18,27,60,-33,28,0.74,37.8,51.6,-13.8,-0.36,12326,Mattia Destro - 9,Salvatore Sirigu,37,37,3330,37,59,1.59,175,119,68.6,10,27,5,4,1,0,20,4,3,7,2,52.3,0.29,-4.7,-0.13,291,678,42.9,935,101,52.9,40.8,269,68,46.9,302,13,4.3,12,0.32,12.5
Niki Mäenpää,FIN,GK,Venezia,Serie A,36,1985,20,38,6,9,23,34,69,-35,27,0.71,36,72.4,-36.4,-0.96,6648,Thomas Henry - 9,Niki Mäenpää,17,16,1485,16.5,27,1.64,78,56,71.8,1,6.3,6,5,0,1,0,5,0,4,0,29.7,0.34,2.7,0.16,81,236,34.3,379,69,45.6,39.6,142,44.4,36.9,168,9,5.4,7,0.42,12.8
Ben Foster,ENG,GK,Watford,Premier League,38,1983,19,38,6,5,27,34,77,-43,23,0.61,38.7,66.3,-27.6,-0.73,20614,Emmanuel Dennis - 10,Ben Foster,26,26,2340,26,49,1.88,111,63,58.6,4,15.4,4,3,1,0,25,3,0,4,1,43.4,0.36,-4.6,-0.18,227,666,34.1,644,70,71.3,51.4,225,92,65.2,265,16,6,24,0.92,15.1
Tim Krul,NED,GK,Norwich City,Premier League,33,1988,20,38,5,7,26,23,84,-61,22,0.58,33.1,76.7,-43.6,-1.15,26836,Teemu Pukki - 11,Tim Krul,29,29,2610,29,62,2.14,158,101,65.2,5,17.2,9,7,1,1,12.5,7,1,8,2,57.3,0.33,-2.7,-0.09,191,495,38.6,833,155,44.8,39.4,224,54.5,45.4,256,10,3.9,10,0.34,12.5
Sascha Burchert,GER,GK,Greuther Fürth,Bundesliga,31,1989,18,34,3,9,22,28,82,-54,18,0.53,30.7,60.3,-29.6,-0.87,7672,Branimir Hrgota - 9,Sascha Burchert,14,14,1260,14,28,2,69,44,63.8,3,21.4,3,3,0,0,0,3,1,4,2,22.4,0.3,-3.6,-0.25,127,346,36.7,439,45,56.9,45.6,116,82.8,57.8,141,8,5.7,19,1.36,16.6
